0,yol5kxjy,1,https://www.speedrun.com/sm64/runs/yol5kxjy,2023-03-23T06:20:48Z,875.5,875.5,jn32931x,Suigi,Canada,N64, 16_Star
1,zng5delm,2,https://www.speedrun.com/sm64/runs/zng5delm,2025-08-21T12:34:44Z,876.42,876.42,kjprmwk8,Weegee,United States,N64, 16_Star
2,zn5d3x9z,3,https://www.speedrun.com/sm64/runs/zn5d3x9z,2026-02-12T17:41:56Z,880.7,880.7,1xypyovx,Slipperynip,United States,N64, 16_Star
3,yoeq9vjz,4,https://www.speedrun.com/sm64/runs/yoeq9vjz,2025-08-05T04:05:22Z,889.85,889.85,48g979rx,GTM,Antarctica,N64, 16_Star
4,y60jnn0y,5,https://www.speedrun.com/sm64/runs/y60jnn0y,2022-07-06T19:10:40Z,892.8,892.8,x353dr7j,Finnii602,Germany,VC, 16_Star
5,ywj1gg9z,6,https://www.speedrun.com/sm64/runs/ywj1gg9z,2021-12-09T16:44:16Z,895.81,895.81,kj92gmv8,Dowsky,United States,N64, 16_Star
6,ydne25xm,7,https://www.speedrun.com/sm64/runs/ydne25xm,2024-04-03T19:54:11Z,895.94,895.94,j2www16j,treybordo,United States,N64, 16_Star
7,y9wjj7ez,8,https://www.speedrun.com/sm64/runs/y9wjj7ez,2026-01-02T15:23:04Z,896.03,896.03,xkzm1z9x,MmaARriOy_,Japan,N64, 16_Star
8,m7w9p0ez,9,https://www.speedrun.com/sm64/runs/m7w9p0ez,2021-12-06T01:20:55Z,896.22,896.22,7j40gpw8,cuas,N64, 16_Star
9,mkv9n63y,10,https://www.speedrun.com/sm64/runs/mkv9n63y,2022-12-16T23:55:34Z,896.33,896.33,8vkrw22j,Tag609,United States,N64, 16_Star
10,znx1l88y,11,https://www.speedrun.com/sm64/runs/znx1l88y,2024-08-16T08:52:06Z,896.53,896.53,qxkqkmmx,xandrey,Costa Rica,N64, 16_Star
11,yj7dqn3y,12,https://www.speedrun.com/sm64/runs/yj7dqn3y,2025-12-09T03:13:33Z,896.6,896.6,xkmnnmmj,ZUMMI,Italy,EMU, 16_Star
12,y86rxp5m,13,https://www.speedrun.com/sm64/runs/y86rxp5m,2023-05-29T17:17:59Z,897.46,897.46,e8evzg7x,gamiru,Japan,N64, 16_Star
13,m7lq074y,14,https://www.speedrun.com/sm64/runs/m7lq074y,2025-05-11T23:40:35Z,897.76,897.76,kj9z6pn8,Sunnard,France,EMU, 16_Star
14,znv35k3m,15,https://www.speedrun.com/sm64/runs/znv35k3m,2023-05-31T13:30:57Z,898.1,898.1,jpmk03yj,Zapy,Japan,N64, 16_Star
15,yv8qgoom,16,https://www.speedrun.com/sm64/runs/yv8qgoom,2023-01-23T23:25:36Z,898.33,898.33,jmolpwo8,Raisn,Germany,EMU, 16_Star
16,yv7077ey,17,https://www.speedrun.com/sm64/runs/yv7077ey,2025-07-04T07:54:03Z,898.55,898.55,86nnlvqx,Banova8,France,N64, 16_Star
17,mk13woly,18,https://www.speedrun.com/sm64/runs/mk13woly,2024-07-30T15:29:57Z,898.89,898.89,8wkzer38,Parsee02,Japan,N64, 16_Star
18,znko377z,19,https://www.speedrun.com/sm64/runs/znko377z,2020-05-10T08:36:48Z,899.33,899.33,0jml0zy8,akki,Japan,N64, 16_Star
19,ywojnd3m,20,https://www.speedrun.com/sm64/runs/ywojnd3m,2026-04-06T06:44:58Z,902.08,902.08,8dpk11l8,TheBest2272,Spain,EMU, 16_Star
20,mkr7g8lz,21,https://www.speedrun.com/sm64/runs/mkr7g8lz,2025-11-02T17:38:27Z,902.79,902.79,x353dr7j,Finnii602,Germany,N64, 16_Star
21,z1n4pwry,22,https://www.speedrun.com/sm64/runs/z1n4pwry,2024-11-09T18:53:43Z,903.83,903.83,jmolpwo8,Raisn,Germany,N64, 16_Star
22,mr20o6dy,23,https://www.speedrun.com/sm64/runs/mr20o6dy,2024-01-05T22:10:02Z,904.73,904.73,7j4mzd5j,Thomkar, Norway,N64, 16_Star
